Year,Regn,Aslt,Fraud,Drug,Thief,Popln,Incme,StnNo,Police,Float,Unemp,CPI,Aging,Dens,Estab,Multi,Crime_Aslt,Crime_Fraud,Crime_Drug,Crime_Thief,Crime
2023,서울도봉구,467,1291,68,997,309494,2152354,8,573,309,3.9,129.2,287.6,14987.60291,21,1683,150.8914551,417.1324808,21.97134678,322.1387167,912.1339994
2023,서울노원구,1076,2025,92,1629,502925,2284387,8,826,499,3.5,129.2,200.8,14190.886,21,2125,213.9484018,402.6445295,18.29298603,323.9051548,958.7910722
2023,서울은평구,920,2478,59,1612,470869,2225296,9,475,474,4.2,129.2,228.8,15848.83877,79,3020,195.3834294,526.2610195,12.53002427,342.345748,1076.520221
2023,서울서대문구,495,1518,52,1190,320629,2932097,8,674,326,3.9,129.2,205.1,18186.55701,28,2134,154.3840389,473.4443859,16.21812126,371.1454672,1015.192013
2023,서울마포구,1157,1801,273,1479,375162,3146210,8,918,408,4.2,129.2,175.5,15730.06289,47,2375,308.4001045,480.0592811,72.76856398,394.2296928,1255.457642
2023,서울양천구,790,1647,50,1411,439252,2515550,9,758,435,3,129.2,158,25229.86789,4,2681,179.8512016,374.9556063,11.38298744,321.2279056,887.417701
2023,서울강서구,1278,2886,135,1790,568826,3208656,19,971,608,2.9,129.2,199.1,13723.18456,133,3976,224.6732744,507.3607746,23.73309237,314.6832247,1070.450366
2023,서울구로구,1092,2087,155,1627,415651,3009292,8,779,459,3.4,129.2,217.8,20658.59841,32,7935,262.7204073,502.1039285,37.2909003,391.4341599,1193.549396
2023,서울금천구,606,1846,61,980,241105,3265322,5,595,282,3.7,129.2,279.2,18518.04916,44,4819,251.342776,765.6415255,25.30018042,406.4619149,1448.746397
2023,서울영등포구,1247,3021,151,1856,397800,4078162,10,1014,469,2.9,129.2,200.1,16203.66599,136,6545,313.4741076,759.4268477,37.95877325,466.5661136,1577.425842
